725770845: Scott Vasko: 5630 Windsor Drive, Mississauga, ON, Canada L5K 1B5: 18/3/1965: M: 6478181902: 2011 Audi A6: 5N40623
185798751: Olivia Dahn: 1477 Fairway Drive, Mississauga, ON, Canada L5K 1B5: 12/10/1941: M: 6478182930: 2006 SUZUKI RMZ: 6FEH527
512330275: Steven Campbell: 7765 Willow Avenue, Mississauga, ON, Canada L5K 1B5: 1/4/1961: F: 6472930204: 2015 BMW M2351: M55FVZ
191858347: David Waggett: 8693 Court Street, Mississauga, ON, Canada L5K 1B5: 6/9/1976: M: 6478204839: 2007 SUZUKI LT-A500: GMK4532
695546710: Sydnee Walker: 9930 Cedar Lane, Mississauga, ON, Canada L5K 1B5: 18/7/1985: F: 6478199239: 2007 HYUNDAI ACCENT: GMI7384
419042335: Gregory Lopez: 9440 Summit Avenue, Mississauga, ON, Canada L5K 1B5: 21/8/1974: F: 6476362789: 2013 YAMAHA TT: EB6X4A
406530269: Usman Qureshi: 4737 Garfield Avenue, Mississauga, ON, Canada L5K 1B5: 8/8/1938: M: 6475683940: 2011 CHEVROLET FG: GA6X5A
406622489: Rihanna Raisner: 274 Fairway Drive, Mississauga, ON, Canada L5K 1B5: 13/6/1994: F: 4168283948: 2011 GMC YUKON: DT8P123
517481642: Ruby Wilson: 7335 Cottage Street, Mississauga, ON, Canada L5K 1B5: 28/5/1963: M: 6472839283: 2003 PONTIAC BONNEVILLE: FG8O124
211110560: Cierra Edwards: 7088 Cedar Lane, Mississauga, ON, Canada L5K 1B5: 4/7/1928: M: 4167282835: 2014 ASTON MARTIN V12: H23JWC
137466834: Landon Irwin: 9011 Garfield Avenue, Mississauga, ON, Canada L5K 1B5: 14/6/1911: F: 6473892039: 2014 SUZUKI RMZ: A45JDC
409710715: Sophia Lee: 8767 Country Club Road, Mississauga, ON, Canada L5K 1B5: 19/6/1985: M: 6478903784: 2005 HONDA CIVIC AS: J54KWV
365662246: Jos Wilson: 4378 Forest Street, Mississauga, ON, Canada L5K 1B5: 23/12/1980: F: 6478289303: 2009 TOYOTA COROLLA CV: 8ECV174
